,0,1,2
492,sh.600372,1,中航机载
493,sh.600373,1,中文传媒
494,sh.600375,1,*ST汉马
495,sh.600376,1,首开股份
496,sh.600377,1,宁沪高速
497,sh.600378,1,昊华科技
498,sh.600379,1,宝光股份
499,sh.600380,1,健康元
500,sh.600381,1,ST春天
501,sh.600382,1,广东明珠
502,sh.600383,1,金地集团
503,sh.600386,1,北巴传媒
504,sh.600387,1,*ST海越
505,sh.600388,1,龙净环保
506,sh.600389,1,江山股份
507,sh.600390,1,五矿资本
508,sh.600391,1,航发科技
509,sh.600392,1,盛和资源
510,sh.600395,1,盘江股份
511,sh.600396,1,华电辽能
512,sh.600397,1,安源煤业
513,sh.600398,1,海澜之家
514,sh.600399,1,抚顺特钢
515,sh.600400,1,红豆股份
516,sh.600403,1,大有能源
517,sh.600405,1,动力源
518,sh.600406,1,国电南瑞
519,sh.600408,1,安泰集团
520,sh.600409,1,三友化工
521,sh.600410,1,华胜天成
522,sh.600415,1,小商品城
523,sh.600416,1,湘电股份
524,sh.600418,1,江淮汽车
525,sh.600419,1,天润乳业
526,sh.600420,1,国药现代
527,sh.600421,1,华嵘控股
528,sh.600422,1,昆药集团
529,sh.600423,1,柳化股份
530,sh.600425,1,青松建化
531,sh.600426,1,华鲁恒升
532,sh.600428,1,中远海特
533,sh.600429,1,三元股份
534,sh.600433,1,冠豪高新
535,sh.600435,1,北方导航
536,sh.600436,1,片仔癀
537,sh.600438,1,通威股份
538,sh.600439,1,瑞贝卡
539,sh.600444,1,国机通用
540,sh.600446,1,金证股份
541,sh.600448,1,华纺股份
542,sh.600449,1,宁夏建材
543,sh.600452,1,涪陵电力
544,sh.600455,1,博通股份
545,sh.600456,1,宝钛股份
546,sh.600458,1,时代新材
547,sh.600459,1,贵研铂业
548,sh.600460,1,士兰微
549,sh.600461,1,洪城环境
550,sh.600462,1,*ST九有
551,sh.600463,1,空港股份
552,sh.600467,1,好当家
553,sh.600468,1,百利电气
554,sh.600469,1,风神股份
555,sh.600470,1,六国化工
556,sh.600475,1,华光环能
557,sh.600476,1,湘邮科技
558,sh.600477,1,杭萧钢构
559,sh.600478,1,科力远
560,sh.600479,1,千金药业
561,sh.600480,1,凌云股份
562,sh.600481,1,双良节能
563,sh.600482,1,中国动力
564,sh.600483,1,福能股份
565,sh.600486,1,扬农化工
566,sh.600487,1,亨通光电
567,sh.600488,1,津药药业
568,sh.600489,1,中金黄金
569,sh.600490,1,鹏欣资源
570,sh.600491,1,龙元建设
571,sh.600493,1,凤竹纺织
572,sh.600495,1,晋西车轴
573,sh.600496,1,精工钢构
574,sh.600497,1,驰宏锌锗
575,sh.600498,1,烽火通信
576,sh.600499,1,科达制造
577,sh.600500,1,中化国际
578,sh.600501,1,航天晨光
579,sh.600502,1,安徽建工
580,sh.600503,1,华丽家族
581,sh.600505,1,西昌电力
582,sh.600506,1,统一股份
583,sh.600507,1,方大特钢
584,sh.600508,1,上海能源
585,sh.600509,1,天富能源
586,sh.600510,1,黑牡丹
587,sh.600511,1,国药股份
588,sh.600512,1,腾达建设
589,sh.600513,1,联环药业
590,sh.600515,1,海南机场
591,sh.600516,1,方大炭素
592,sh.600517,1,国网英大
593,sh.600518,1,康美药业
594,sh.600519,1,贵州茅台
595,sh.600520,1,文一科技
596,sh.600521,1,华海药业
597,sh.600522,1,中天科技
598,sh.600523,1,贵航股份
599,sh.600525,1,长园集团
600,sh.600526,1,菲达环保
